ID,Area,Competitor,Beds,Baths,Model,Security Deposit,Report Date,Type,Pricing,Sqft,Available,Unit,Address,URL,Bed/Baths
Commonwealth Apartments 1 Bedroom,Brighton Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2200,480,Now,10,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Commonwealth Apartments 1 Bedroom,Brighton Area,Commonwealth Apartments,1,1,1 Bedroom,,12/17/2024,Grid,2200,500,"Jan 2, 2025",11,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,1 Bed 1 Bath
Residences at Brighton Marine 1 Bedroom,Brighton Area,Residences at Brighton Marine,1,1,1 Bedroom,,12/17/2024,Grid,1333,693,Now,510,"1465 Commonwealth Ave, Boston, MA 02135",https://www.apartments.com/residences-at-brighton-marine-boston-ma/00exlr3/,1 Bed 1 Bath
Residences at Brighton Marine 1 Bedroom,Brighton Area,Residences at Brighton Marine,1,1,1 Bedroom,,12/17/2024,Grid,1695,693,Now,609,"1465 Commonwealth Ave, Boston, MA 02135",https://www.apartments.com/residences-at-brighton-marine-boston-ma/00exlr3/,1 Bed 1 Bath
27 Saint Lukes Rd Studio,Brighton Area,27 Saint Lukes Rd,0,1,Studio,,12/17/2024,Grid,1850,500,Now,B,"27 Saint Lukes Rd, Allston, MA 02134",https://www.apartments.com/27-saint-lukes-rd-allston-ma/62e29gt/,0 Bed 1 Bath
27 Saint Lukes Rd Studio,Brighton Area,27 Saint Lukes Rd,0,1,Studio,,12/17/2024,Grid,2050,500,"Jun 1, 2025",4,"27 Saint Lukes Rd, Allston, MA 02134",https://www.apartments.com/27-saint-lukes-rd-allston-ma/62e29gt/,0 Bed 1 Bath
35 Orkney Rd studios,Brighton Area,35 Orkney Rd,0,1,studios,,12/17/2024,Grid,1900,500,"Jan 1, 2025",505,"35 Orkney Rd, Boston, MA 02135",https://www.apartments.com/35-orkney-rd-boston-ma/811kn01/,0 Bed 1 Bath
35 Orkney Rd 1 beds,Brighton Area,35 Orkney Rd,1,1,1 beds,,12/17/2024,Grid,2075,700,"Jan 1, 2025",1,"35 Orkney Rd, Boston, MA 02135",https://www.apartments.com/35-orkney-rd-boston-ma/811kn01/,1 Bed 1 Bath
525 LINC 3A,Allston Area,525 LINC,3,2,3A,,12/17/2024,Grid,1950,344,Now,515B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,3 Bed 2 Bath
525 LINC 4A,Allston Area,525 LINC,4,2,4A,,12/17/2024,Grid,1925,293,Now,516B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4C,Allston Area,525 LINC,4,3,4C,,12/17/2024,Grid,1900,333,Now,513B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4C,Allston Area,525 LINC,4,3,4C,,12/17/2024,Grid,2300,333,Dec 19,413D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4C,Allston Area,525 LINC,4,3,4C,,12/17/2024,Grid,1900,333,"Jan 5, 2025",313C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4C,Allston Area,525 LINC,4,3,4C,,12/17/2024,Grid,1900,333,"Feb 5, 2025",413B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4C,Allston Area,525 LINC,4,3,4C,,12/17/2024,Grid,2300,333,"Feb 5, 2025",513D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4H1,Allston Area,525 LINC,4,2,4H1,,12/17/2024,Grid,2300,316,Now,201A,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4H1,Allston Area,525 LINC,4,2,4H1,,12/17/2024,Grid,2300,316,Now,201C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4H1,Allston Area,525 LINC,4,2,4H1,,12/17/2024,Grid,1925,316,"Jan 5, 2025",301D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,348,Now,407B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,348,Now,409C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,332,Now,412C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,2300,332,Now,510D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,2300,332,"Jan 3, 2025",408D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,332,"Jan 5, 2025",310B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,332,"Jan 5, 2025",310C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,2300,332,"Jan 5, 2025",308D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,2300,348,"Jan 5, 2025",309A,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,2300,332,"Jan 10, 2025",312A,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,332,"Feb 5, 2025",512B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Allston Area,525 LINC,4,2,4DA,,12/17/2024,Grid,2300,348,"Feb 5, 2025",209D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4G1,Allston Area,525 LINC,4,2,4G1,,12/17/2024,Grid,1925,389,Dec 20,402C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4F,Allston Area,525 LINC,4,2,4F,,12/17/2024,Grid,1950,319,"Jan 5, 2025",504B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
Hamilton Union A1,Allston Area,Hamilton Union,1,1,A1,,12/17/2024,Grid,2100,525,Now,5A,"508-524 Cambridge St, Allston, MA 02134",https://www.apartments.com/hamilton-union-allston-ma/t1b2j68/,1 Bed 1 Bath
Hamilton Union 5-AIM,Allston Area,Hamilton Union,1,1,5-AIM,,12/17/2024,Grid,2250,525,"Jan 16, 2025",2,"508-524 Cambridge St, Allston, MA 02134",https://www.apartments.com/hamilton-union-allston-ma/t1b2j68/,1 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,Now,23,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1850,250,"Jan 2, 2025",8,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,"Jan 2, 2025",33,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1950,250,"Jan 2, 2025",47,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,2075,250,"Jan 2, 2025",27,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,2100,250,"Jan 2, 2025",38,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,1900,250,"Feb 2, 2025",48,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
Commonwealth Apartments Studio,Allston Area,Commonwealth Apartments,0,1,Studio,,12/17/2024,Grid,2300,250,"Feb 2, 2025",45,"1144-1160 Commonwealth Ave, Allston, MA 02134",https://www.apartments.com/commonwealth-apartments-allston-ma/vc1svhg/,0 Bed 1 Bath
